titulo	slug	entidad_origen	codigo_origen	categoria	direccion1	direccion2	cp	poblacion	descripcion	telefono	fax	url	email	foto	latitud	longitud	foto_x	foto_x_titulo	foto_x_alt	acces_fisica	acces_visual	acces_auditiva	acces_intelectual	acces_organica	tipo_biblio	año_inicio	institucion	tipo_institucion	horarios	tipo_acceso	tipo_centro	tematica			servicios											
																																general	infantil	religioso	Amn	reprografia	hemeroteca	wifi	selectiva	bol_novedades	prestamo	prestamo_inter	prestamo_domic	infor_bibliografica	internet_usuarios	acceso_bbdd
Errota Kultur Etxea		ejgv_biblio		Biblioteca	Laubideta, 22		48220	ABADIÑO		94-4669416										sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Mediateka		ejgv_biblio		Biblioteca	Zelatabe, 10		48220	ABADIÑO		94-6813415		http://www.abadiano.org	mediateka@abadiano.org							accesible	no_accesible	no_accesible			Publikoa	1966	Abadiñoko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ			SÍ	SÍ	SÍ		SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	San Juan enparantza, z/g		20269	ABALTZISKETA		943 652 900			abaltzisketa@udal.gipuzkoa.net							no_accesible	no_accesible	no_accesible			Publikoa	1990	Abaltzisketako Udala	Ayuntamiento		Libre 	Publico	General			SÍ											
Gallartako Liburutegia		ejgv_biblio		Biblioteca	Avenida del Minero, 5		48500	ABANTO Y CIERVANA		946 363 987			bibliogallarta@abanto-zierbena.org							accesible	no_accesible	no_accesible			Publikoa	1978	Abanto Zierbenako Udala	Ayuntamiento		Libre 	Publico	General			SÍ			SÍ			SÍ	SÍ	SÍ		SÍ	
Las Carreras-ko Liburutegia		ejgv_biblio		Biblioteca	Kale Nagusia, 2 - Las Carreras		48540	ABANTO Y CIERVANA		946 368 711			bibliolascarreras@abanto-zierbena.org							accesible	no_accesible	no_accesible			Publikoa	1978	Abanto Zierbenako Udala	Ayuntamiento		Libre 	Publico	General			SÍ			SÍ			SÍ	SÍ	SÍ		SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	Herriko plaza, z/g		20150	ADUNA		943-692689			itsaso.aiztondo@udal.gipuzkoa.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Zapatari, 35		1200	SALVATIERRA-AGURAIN		945 302 938		http://www.agurain.com	agurain-liburutegia@agurain.e.telefonica.net							accesible		no_accesible			Publikoa	1980	Aguraingo Udala	Ayuntamiento		Libre 	Publico	General			SÍ		SÍ	SÍ			SÍ	SÍ	SÍ		SÍ	SÍ
Udal Liburutegia		ejgv_biblio		Biblioteca	Gozategi enparantza, 3		20809	AIA		943 130 924			kulturetxe@aiako.com							accesible	no_accesible	no_accesible			Publikoa	1988	Aiako Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ			SÍ	SÍ	SÍ		SÍ	SÍ
Udal Liburutegia		ejgv_biblio		Biblioteca	Herriko plaza, 2		20749	AIZARNAZABAL		943-897053			lib.aizarnazabal@udal.gipuzkoa.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Mendieta, z/g		48320	AJANGIZ		94-6251913			liburutegia.ajangiz@bizkaia.org							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Herriko plaza, z/g		20495	ALBIZTUR		943 654 426			albiztur@udal.gipuzkoa.net							accesible	no_accesible	no_accesible			Publikoa	1994	Albizturko Udala	Ayuntamiento		Libre 	Publico	General			SÍ							SÍ	SÍ			
Udal Liburutegia		ejgv_biblio		Biblioteca	Kultur Etxea		20260	ALEGIA		943-650492			liburutegia@alegiaudala.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Ernestina de Champourcin		ejgv_biblio		Biblioteca	Herriko plaza, 2		1240	ALEGRIA-DULANTZI		945 420 704			aalegria.maite@ayto.alava.net							accesible	accesible	accesible			Publikoa	2005	Alegria-Dulantziko Udala	Ayuntamiento		Libre 	Publico	General			SÍ			SÍ			SÍ	SÍ	SÍ	SÍ	SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	San Martin plaza		20494	ALKIZA		943-690235			alkiza@udal.gipuzkoa.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Madinabeitia plaza, 4		48810	ALONSOTEGI		94-4980417			liburutegia@alonsotegi.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Altzoko muino, 73		20268	ALTZO		943 652 413			altzoliburutegi@hotmail.es							no_accesible	no_accesible	no_accesible			Publikoa	1995	Altzoko Udala	Ayuntamiento		Libre 	Publico	General			SÍ							SÍ	SÍ	SÍ		
