titulo	slug	entidad_origen	codigo_origen	categoria	direccion	cp	poblacion	descripcion	telefono	fax	url	foto	latitud	longitud	foto_x	foto_x_titulo	foto_x_alt	itinerarios	acces_fisica	acces_visual	acces_auditiva	acces_intelectual	acces_organica	imagen_titulo	imagen_alt	tipo_biblio	año_inicio	institucion	tipo_institucion	codigo_portal	horarios	tipo_acceso	tipo_centro	tematica	servicios	snbe	snbe_url	bilgunea	bilgunea_url	bilgunea_fecha	acess_itinerario	acces_url_ficha	
Vitoria-Gasteiz		Consultrans	0101VITO	estacion-tren	Eduardo Dato Kalea, 46	01005	Vitoria-Gasteiz	Línea Regional de RENFE que une Vitoria-Gasteiz con Pamplona.			http://www.adif.es/								Practicable	Practicable	Practicable	Sin datos	Sin datos																		Itinerario peatonal accesible.	http://argitalpen.ararteko.net/ac_v/PDF/85_vitoria.pdf	
Alegria-Dulantzi		Consultrans	0101ALEG	estacion-tren	Ramal de la Estación	01240	Alegria-Dulantzi	Línea Regional de RENFE que une Vitoria-Gasteiz con Pamplona.			http://www.adif.es/								Inaccesible	Inaccesible	Inaccesible	Sin datos	Sin datos																		Hay una rampa de acceso totalmente funcional. La estación se sitúa en las afueras del municipio con la necesidad de acceder en coche. Se entra por un lateral. Edificio cerrado.	http://argitalpen.ararteko.net/ac_v/PDF/86_alegria_dulantzi.pdf	
Agurain		Consultrans	0101AGUR	estacion-tren	C/ Trebiño, S/N	01200	Salvatierra	Línea Regional de RENFE que une Vitoria-Gasteiz con Pamplona.			http://www.adif.es/								Inaccesible	Inaccesible	Inaccesible	Sin datos	Sin datos																		El acceso se materializa a través de un tramo de escaleras por un lateral de la estación. Hay una rampa que no resulta funcional. 	http://argitalpen.ararteko.net/ac_v/PDF/87_agurain.pdf	
Araia		Consultrans	0101ARAI	estacion-tren	C/ Estación, S/N	01250	Asparrena	Línea Regional de RENFE que une Vitoria-Gasteiz con Pamplona.			http://www.adif.es/								Inaccesible	Inaccesible	Inaccesible	Sin datos	Sin datos																		El acceso se materializa a través de un tramo de escaleras por un lateral de la estación. Hay una rampa de acceso que no resulta funcional. 	http://argitalpen.ararteko.net/ac_v/PDF/88_araia.pdf	
Abando Indalecio Prieto		Consultrans	0201ABAN	estacion-tren	Plaza Circular, 2	48008	Bilbao	Línea C-1 de RENFE, entre Bilbao y Santurtzi.  Presta servicios de Cercanías, Regionales e Internacionales.			http://www.adif.es/								Practicable	Accesible	Accesible	Sin datos	Sin datos																		El acceso principal tiene una pequeña rampa en la entrada con pasamanos acondicionado.	http://argitalpen.ararteko.net/ac_v/PDF/32_bilbao_abando.pdf	
Zabalburu		Consultrans	0201ZABA	estacion-tren	C/ Juan de Garay, 9	48003	Bilbao	Línea C-1 de RENFE, entre Bilbao y Santurtzi.  Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible	Practicable	Practicable	Sin datos	Sin datos																		A la estación se accede por una pasarela elevada sobre las vías. Uno de los accesos está a nivel de la calle. El otro se comunica con la pasarela por una rampa de anchura adecuada, pero de pendiente pronunciada sin pasamanos de asistencia.	http://argitalpen.ararteko.net/ac_v/PDF/33_zabalburu.pdf	
Ametzola		Consultrans	0201AMET	estacion-tren	C/ Gordoniz, 49	48002	Bilbao	Línea C-1 de RENFE, entre Bilbao y Santurtzi. Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible 	Practicable	Practicable	Sin datos	Sin datos																		Los itinerarios peatonales de acceso cuentan con pasos rebajados.	http://argitalpen.ararteko.net/ac_v/PDF/34_ametzola.pdf	
Autonomia		Consultrans	0201AUTO	estacion-tren	C/ Autonomía, 72	48012	Bilbao	Línea C-1 de RENFE, entre Bilbao y Santurtzi. Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible 	Practicable	Practicable	Sin datos	Sin datos																		El acceso principal está a nivel respecto de la calle.	http://argitalpen.ararteko.net/ac_v/PDF/35_autonomia.pdf	
San Mamés		Consultrans	0201SANM	estacion-tren	C/ Luis Briñas, 23	48013	Bilbao	Línea C-1 de RENFE, entre Bilbao y Santurtzi. Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible 	Practicable	Practicable	Sin datos	Sin datos																		Se puede acceder tanto en ascensor como mediante escaleras.	http://argitalpen.ararteko.net/ac_v/PDF/36_san_mames.pdf	
Olabeaga		Consultrans	0201OLAB	estacion-tren	Camino de Ventosa, 23	48013	Bilbao	Línea C-1 de RENFE, entre Bilbao y Santurtzi. Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible	Inaccesible	Practicable	Sin datos	Sin datos																		El acceso al andén se realiza a través de un paso subterráneo con tramos de escaleras.	http://argitalpen.ararteko.net/ac_v/PDF/37_olabeaga.pdf	
